timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695069357322,3195,HTTP Request,200,OK,ThreadLoadTestRokomari 1-38,text,true,,526438,240,67,67,https://www.rokomari.com/book,1828,0,0
1695069357322,1828,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-38,,true,,880,118,67,67,https://www.rokomari.com/,1828,0,0
1695069359151,1366,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-38,text,true,,525558,122,67,67,https://www.rokomari.com/book,202,0,0
1695069357563,3036,HTTP Request,200,OK,ThreadLoadTestRokomari 1-57,text,true,,526421,240,67,67,https://www.rokomari.com/book,130,0,58
1695069357563,130,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-57,,true,,874,118,67,67,https://www.rokomari.com/,130,0,58
1695069357693,2906,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-57,text,true,,525547,122,67,67,https://www.rokomari.com/book,86,0,0
1695069357107,3787,HTTP Request,200,OK,ThreadLoadTestRokomari 1-49,text,true,,526443,240,67,67,https://www.rokomari.com/book,1396,0,1102
1695069357107,1396,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-49,,true,,880,118,67,67,https://www.rokomari.com/,1396,0,1102
1695069358503,2391,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-49,text,true,,525563,122,67,67,https://www.rokomari.com/book,130,0,0
1695069355512,5386,HTTP Request,200,OK,ThreadLoadTestRokomari 1-21,text,true,,526427,240,67,67,https://www.rokomari.com/book,1235,0,1161
1695069355512,1235,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-21,,true,,874,118,67,67,https://www.rokomari.com/,1235,0,1161
1695069356747,4151,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-21,text,true,,525553,122,67,67,https://www.rokomari.com/book,75,0,0
1695069357279,3772,HTTP Request,200,OK,ThreadLoadTestRokomari 1-52,text,true,,526423,240,67,67,https://www.rokomari.com/book,110,0,35
1695069357279,110,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-52,,true,,876,118,67,67,https://www.rokomari.com/,110,0,35
1695069357389,3662,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-52,text,true,,525547,122,67,67,https://www.rokomari.com/book,86,0,0
1695069357908,3179,HTTP Request,200,OK,ThreadLoadTestRokomari 1-63,text,true,,526433,240,67,67,https://www.rokomari.com/book,108,0,34
1695069357908,108,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-63,,true,,874,118,67,67,https://www.rokomari.com/,108,0,34
1695069358016,3071,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-63,text,true,,525559,122,67,67,https://www.rokomari.com/book,135,0,0
1695069357219,3874,HTTP Request,200,OK,ThreadLoadTestRokomari 1-14,text,true,,526425,240,67,67,https://www.rokomari.com/book,74,0,0
1695069357219,74,HTTP Request-0,301,Moved Permanently,ThreadLoadTestRokomari 1-14,,true,,876,118,67,67,https://www.rokomari.com/,74,0,0
1695069357293,3800,HTTP Request-1,200,OK,ThreadLoadTestRokomari 1-14,text,true,,525549,122,67,67,https://www.rokomari.com/book,230,0,0
